"ID","教材","単元","地域","質問","正答","誤答1","誤答2","誤答3","誤答4","誤答5","第1巡","第2巡","処置"
"summer-001","夏期講習","","北海道・東北","岩手県南部に見られる、入り組んだ海岸を何といいますか。","リアス海岸","砂浜海岸","隆起海岸","サンゴ礁海岸","岩石海岸","沈水海岸","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-002","夏期講習","","北海道・東北","秋田県と青森県の県境にある世界自然遺産は何ですか。","白神山地","知床","屋久島","小笠原諸島","天塩山地","北見山地","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-003","夏期講習","","北海道・東北","青森県と北海道をつなぐトンネルは何ですか。","青函トンネル","関門トンネル","新神戸トンネル","飛騨トンネル","関越トンネル","清水トンネル","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-004","夏期講習","","北海道・東北","北海道東部にある世界自然遺産は何ですか。","知床","白神山地","屋久島","小笠原諸島","平泉","北海道","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-005","夏期講習","","北海道・東北","北海道で稲作がさかんな平野は何ですか。","石狩平野","十勝平野","津軽平野","庄内平野","筑紫平野","秋田平野","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-006","夏期講習","","北海道・東北","津軽平野で生産がさかんな農作物は何ですか。","りんご","さくらんぼ","ぶどう","もも","だいこん","みかん","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-007","夏期講習","","北海道・東北","山形県で稲作がさかんな平野は何ですか。","庄内平野","津軽平野","仙台平野","秋田平野","石狩平野","筑紫平野","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-008","夏期講習","","北海道・東北","庄内平野を流れる川は何ですか。","最上川","北上川","阿武隈川","雄物川","吉野川","木曽川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-009","夏期講習","","中部","新潟県で稲作が盛んな、日本海側の広い平野は何ですか。","越後平野","庄内平野","石狩平野","筑紫平野","津軽平野","秋田平野","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-010","夏期講習","","中部","富山県にある、水力発電で有名なダムは何ですか。","黒部ダム","矢木沢ダム","奥只見ダム","御母衣ダム","宮ヶ瀬ダム","緑のダム","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-011","夏期講習","","中部","石川県金沢市にある日本三名園の1つは何ですか。","兼六園","偕楽園","後楽園","栗林公園","玄宮園","縮景園","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-012","夏期講習","","中部","飛騨山脈・木曽山脈・赤石山脈をまとめて何といいますか。","日本アルプス","奥羽山脈","中国山地","九州山地","中央アルプス","南アルプス","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-013","夏期講習","","中部","静岡県と山梨県の県境にある世界遺産の山は何ですか。","富士山","立山","白山","浅間山","阿蘇山","御嶽山","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
