問題ID,修正区分,正答,修正後の問題文
summer-040,曖昧条件の具体化,倉敷市,岡山県倉敷市の水島地区を中心に工業が発達した都市はどこですか。
summer-082,曖昧条件の具体化,有珠山,北海道の洞爺湖の南側にあり、2000年にも噴火した火山は何ですか。
first-146,複数正解の解消,韓国,日本の西側に位置し、首都がソウルである国はどこですか。
first-196,複数正解の解消,神奈川県,県庁所在地が横浜市である県はどこですか。
first-277,複数正解の解消,バター,生乳から分離した脂肪分を練り固めて作る乳製品は何ですか。
first-281,複数正解の解消,畑作,十勝平野で、じゃがいも・小麦・豆類などを栽培する農業は何ですか。
first-310,複数正解の解消,スキーなどの観光に利用する,雪の斜面を滑るスポーツを観光に利用する取り組みはどれですか。
first-332,複数正解の解消,木曽川,木曽三川のうち、最も東側を流れる川は何ですか。
first-397,複数正解の解消,レタス,長野県川上村が全国有数の産地として知られる高原野菜は何ですか。
first-401,複数正解の解消,キャンプ場,高原でテントを張って宿泊や野外活動を楽しむ施設は何ですか。
first-420,複数正解の解消,スキー,2本の細長い板を両足につけて雪の斜面を滑るスポーツは何ですか。
